age,income,credit_score,loan_amount,employment_length,debt_to_income,num_credit_lines,gender,race,approved
56,102879,527,37567,18,0.5335544335535795,16,0,3,1
69,189899,606,22174,1,0.0002410046851345493,19,1,3,1
46,156727,756,47598,23,0.24124433603802786,8,1,0,1
32,64859,459,64199,22,0.20823180860821444,4,1,0,1
60,72098,630,18798,1,0.25048294674976346,0,0,0,0
25,166323,524,70364,5,0.8059058425334413,5,0,1,0
38,142413,803,22558,18,0.27967385654644317,13,0,3,1
56,20526,755,66084,7,0.19152132205014816,16,1,2,0
36,88760,344,49237,25,0.5042634607930315,18,0,0,0
40,67837,513,70497,28,0.8656450363727319,0,0,0,0
28,31536,358,5178,2,0.24134970383749987,0,1,3,0
28,48541,494,91006,25,0.0785362427927987,12,0,3,0
41,99083,788,22118,13,0.3564047358496647,13,0,3,1
53,54531,456,27616,24,0.7476518245649778,5,1,2,0
57,28712,525,5798,15,0.5506905446947946,5,1,1,1
41,124101,711,12601,0,0.8167933695743474,0,1,1,0
20,85455,504,30363,20,0.959592147609234,13,1,0,0
39,94744,378,7795,2,0.792662476751617,2,1,1,0
19,149749,423,50264,21,0.6038030788437534,9,1,2,1
41,25109,770,77833,25,0.4933415880523805,18,1,1,1
61,69268,517,8084,17,0.04006908634826667,18,1,2,0
47,74615,815,81646,8,0.9843219788140413,18,1,0,1
55,102503,403,5731,5,0.3834811225750425,3,0,3,0
19,180831,692,6129,22,0.1522282139168668,19,1,2,1
38,105708,733,33022,20,0.6667088553964567,18,1,3,1
50,122471,630,6605,24,0.28428828909545933,9,0,0,1
29,177661,442,82506,0,0.5857782709310476,1,1,2,0
39,181087,839,49130,20,0.5867679078445912,3,0,2,1
61,180081,577,34265,26,0.44572982090286917,5,0,1,1
42,103309,532,37330,9,0.8361186155450426,6,1,2,0
66,146446,828,73469,26,0.26496706155544303,15,0,0,1
44,126661,389,20187,5,0.44863259161773417,6,1,3,1
59,177215,791,30791,22,0.5376921285909715,17,1,2,1
45,26154,498,95436,11,0.6636247207672996,19,0,0,0
33,172876,661,75610,3,0.7839718505055895,18,0,0,1
32,192760,740,96962,27,0.39480728287825606,8,0,2,1
64,84288,325,44867,12,0.646046944096596,19,1,1,0
68,71195,324,5893,16,0.15061095306851913,9,1,2,0
61,40581,693,24773,26,0.9326481005424786,12,0,2,0
69,50087,806,9239,7,0.38305880642100354,17,1,1,1
20,184053,600,25863,25,0.7295214219764384,15,1,0,1
54,89298,638,56415,19,0.020341081882177647,16,0,2,1
68,66167,566,73968,2,0.205187142904807,12,0,1,0
24,194480,760,65430,11,0.487082544323578,11,0,3,1
38,59499,755,6515,6,0.8782524677323466,9,0,3,1
26,145816,659,19605,11,0.5272551499506771,0,0,1,1
56,189631,367,61240,1,0.929870482293879,7,0,0,0
35,116347,711,10586,23,0.48379689658279634,17,0,1,1
21,68787,790,36186,13,0.49044909673594994,1,0,0,1
42,55488,348,31928,21,0.11974678850053189,15,0,3,0
31,94441,401,88087,22,0.8026562441522198,11,0,2,0
67,42431,515,92029,29,0.2469654124670625,8,1,1,0
26,81681,737,25711,4,0.8996124893723151,2,1,3,1
43,142720,458,59962,8,0.9108242203303961,3,0,2,0
19,69153,788,25039,20,0.9433101118741497,1,1,3,1
37,26368,541,41561,10,0.52023048910309,7,1,1,0
45,178496,304,80483,4,0.6770937847836443,9,1,1,0
64,132360,660,86395,2,0.7785158800616635,15,1,2,1
24,196076,758,93658,26,0.1310146186504656,10,1,1,1
61,132755,547,6577,16,0.6009571949974972,17,1,3,1
25,76985,721,33350,1,0.03429790130331167,13,0,2,1
64,70069,314,38798,23,0.4975660833887259,7,0,2,0
52,72326,421,86417,0,0.1548426816202274,14,1,3,0
31,128737,576,15785,6,0.1829229259620847,16,1,0,1
34,174470,752,77227,29,0.3650475666926015,17,0,2,1
53,70861,689,66957,13,0.432437166716503,5,1,0,1
67,95897,593,70431,4,0.6231724245321872,13,1,3,0
57,147118,745,22297,18,0.07442841843851566,2,1,3,1
21,88577,509,76894,27,0.5036917612374446,6,1,2,0
19,29078,601,68772,27,0.18262513025310112,14,1,1,0
23,176075,522,24581,10,0.5739751750317419,15,0,2,0
59,82768,302,60192,22,0.6374046122611835,15,0,1,0
21,71047,817,6462,24,0.5567092565528539,7,1,0,1
46,91626,392,69173,1,0.7382955104783077,6,0,1,0
35,77660,819,20511,7,0.3356092442409013,5,1,2,1
43,152997,727,81106,8,0.7651065916331309,1,1,1,1
61,137832,792,53665,26,0.43276708170819367,12,1,3,1
51,150406,534,49414,2,0.4841844983225968,11,1,0,1
27,145150,460,86010,1,0.6481021272610714,14,1,3,0
53,177087,630,77573,6,0.01835838399922396,8,1,3,1
31,53320,632,98665,4,0.6539942214202483,1,1,3,0
48,84881,349,18386,20,0.6185851490721154,16,1,3,0
65,110827,822,59460,25,0.3098471167532799,4,1,1,1
32,122215,791,11221,4,0.08579428489948948,10,0,3,1
